기사 제목,내용,링크
IT일반 20250416, , 
"쿠첸, 천안 공장에 팔레타이징 로봇 도입",주방가전기업 쿠첸은 천안공장 밥솥 라인에 포장·적재 자동화를 위한 팔레타이징 로봇을 도입해 적재 자동화 시스템을 구축한다고 16일 밝혔다. 팔레타이징 로봇은 제조 공정이나 물류 창고에서 팔레트 위에 제품이나 상자를 ,https://n.news.naver.com/mnews/article/092/0002370952
"GC녹십자 혈액제제 ‘알리글로’, 과기부 장영실상 수상… “바이오 기술력·혁신성 입증”",GC녹십자는 혈액제제 ‘알리글로(ALYGLO)’가 제106회 ‘IR52 장영실상’을 수상했다고 16일 밝혔다. IR52 장영실상은 과학기술정보통신부가 주최하는 시상이다. 신기술 제품과 기술혁신 성과가 우수한 연구조직,https://n.news.naver.com/mnews/article/020/0003628827
"LIG넥스원, 시큐리티플랫폼과 국방 AI·무인체계 보안 협력",LIG넥스원은 엣지 디바이스 보안 전문기업 시큐리티플랫폼과 인공지능(AI) 및 무인체계 보안분야 선도기술 확보를 위한 공동 연구에 나선다. LIG넥스원은 15일 서울사무소에서 시큐리티플랫폼과 국방 AI 및 무인체계 ,https://n.news.naver.com/mnews/article/092/0002370951
"위로보틱스, 웨어러블 로봇 윔S 출시",웨어러블 로봇 업체 위로보틱스는 차세대 개인용 보행보조 웨어러블 로봇 '윔S'를 출시한다고 16일 밝혔다. 윔S는 위로보틱스가 1년 만에 새롭게 선보인 개인용 웨어러블 로봇이다. 지난해 출시한 윔보다 크기를 줄이고 ,https://n.news.naver.com/mnews/article/092/0002370950
"""산학협력 20년,  기술이전 이제 질적 전환 필요하다"" 한목소리","""기술이전 제도의 정착과 양적 성장을 넘어, 이제는 창업과 산업화로 이어지는 실질적인 질적 전환이 필요하다."" 16일 제주 메종글래드호텔에서 열린 '2025 기술이전·사업화 컨퍼런스' 부대행사로 마련된 패널토의에서,",https://n.news.naver.com/mnews/article/008/0005181658
"현대엘리베이터, 상하이 공장에 태양광 설비 구축",현대엘리베이터가 중국 상하이 스마트캠퍼스 공장에 6MW 규모 태양광 발전설비를 구축했다고 16일 밝혔다. 설비는 오는 2분기부터 가동을 시작해 총 전력 사용량의 47%를 친환경 에너지로 대체한다. 충북 충주 스마트캠,https://n.news.naver.com/mnews/article/092/0002370948
"DN솔루션즈, 신입공채 지원자 2배 늘어",공작기계 업체 DN솔루션즈는 올해 상반기 신입사원 공개채용 서류 접수에 약 4천800명이 지원했다고 17일 밝혔다. 작년 상반기 신입 공채 지원자 2천200여명 대비 2배 이상 증가했다. DN솔루션즈는 연구·개발과 ,https://n.news.naver.com/mnews/article/092/0002370947
"레인보우로보틱스, 대전 과학행사서 로봇카페 선봬",로봇 플랫폼 전문기업 레인보우로보틱스는 로봇 푸드테크 전문기업 옐로펀트로봇과 오는 16~20일 대전컨벤션센터에서 열리는 2025 대전사이언스페스티벌에 참가한다고 16일 밝혔다. 양사는 로봇카페를 전시해 관람객들에게 ,https://n.news.naver.com/mnews/article/092/0002370946
"아주대·삼성종합기술원 연구팀, '반도체 고집적화' 핵심 신기술 개발",국내 연구진이 선택적 원자층 증착을 통해 반도체 공정의 정밀도를 높일 수 있는 기술을 개발했다. 이에 미세화·고집적화가 진행되고 있는 차세대 반도체 소자 분야의 공정에서 중요하게 활용될 수 있을 전망이다. 16일 아,https://n.news.naver.com/mnews/article/119/0002946110
"에브리봇모빌리티, 교원라이프와 퍼스널 모빌리티 사업 협력",에브리봇 자회사 에브리봇모빌리티는 상조회사 교원라이프와 퍼스널 모빌리티 판매 관련 협약을 체결했다고 16일 밝혔다. 에브리봇모빌리티는 이번 협약으로 교원라이프 회원들에게 에브리봇모빌리티 의료용 스쿠터 2종과 경량형 ,https://n.news.naver.com/mnews/article/092/0002370944
"오픈놀, 작년 연결매출 507억···전년보다 2배 상승","AI 기반 커리어 서비스 오픈놀(대표 권인택)은 지난해 연결 매출 507억원을 기록했다고 16일 밝혔다. 이는 전년(251억원) 대비 101% 상승한 수치다. 영업이익은 1억원 수준으로 소폭 줄었지만, 미니인턴 서비",https://n.news.naver.com/mnews/article/092/0002370942
"엔비디아 개장전 거래에서 7% 급락, 지수선물도 일제↓",엔비디아가 개장전 거래에서 7% 가까이 급락하고 있다. 16일(현지시간) 뉴욕증시 개장전 거래에서 엔비디아는 6.87% 급락한 104.49달러를 기록하고 있다. 이는 트럼프 행정부가 엔비디아의 인공지능(AI) 전용 ,https://n.news.naver.com/mnews/article/421/0008197587
대전은 지금 ‘호기심 천국’…3대 과학행사 통합 개최,[앵커] 과학의 달을 맞아 우리나라의 대표적인 과학축제 3개가 대전에서 통합해 열립니다. 올해 주제는 '호기심'이라고 하는데요. 과학기술 연구 성과를 친숙하게 즐길 수 있는 다양한 체험이 기다리고 있습니다. 양민오 ,https://n.news.naver.com/mnews/article/056/0011933323
“韓 과학기술 현재와 미래” 한눈에 조망…대한민국 과학기술축제 개막,- 3개 대형 과학기술행사 최초 통합 개최 유상임 과학기술정보통신부 장관이 16일 오후 대전광역시 유성구 대전컨벤션센터에서 열린 ‘2025 대한민국 과학기술축제 개막식’ 에 참석해 기념촬영을 하고 있다. 정희권(앞줄,https://n.news.naver.com/mnews/article/016/0002458455
“엎치락 뒤치락” 아이폰 ‘판매량’ 첫 1위…삼성은 ‘출하량’ 1위 수성,"애플, 삼성 제치고 사상 첫 1분기 판매량 점유율 1위 출하량 1위는 삼성 서울 중구 명동 애플스토어에서 고객들이 아이폰16을 살펴보고 있다. [임세준 기자] [헤럴드경제=차민주 기자] 전 세계 스마트폰 시장이 포화",https://n.news.naver.com/mnews/article/016/0002458453
"현대홈쇼핑, 유망 스타트업 찾는다…""지원금 1천만원""","현대홈쇼핑은 서울시 창업기관인 서울경제진흥원, 스타트업 분석 플랫폼 운영사인 마크앤컴퍼니와 함께 유망 스타트업을 발굴 및 지원하는 'H.I.G.H(Hyundai Innovation Growth Hub)' 프로그램을 ",https://n.news.naver.com/mnews/article/092/0002370940
"SK스토아, ‘홀베리 유기농 레몬자몽즙’ 판매",SK스토아(대표 양맹석)는 ‘홀베리 유기농 레몬자몽즙’을 출시한다고 16일 밝혔다. 17일 오후 8시 31분 방송을 통해 선보이는 이 상품은 지난해부터 홈쇼핑 업계에서 가장 큰 히트작으로 떠오른 ‘홀베리 1일 1레몬,https://n.news.naver.com/mnews/article/092/0002370939
